Document Number,Document Type,Publication Date,Title,Abstract,Inventor Name,Assignee,Filing Date
JP2003512254A,JP,2003-04-02,【発明の名称】ロケットの第1段の再使用型ブースタ,"A booster comprises a body including tanks for an oxidizer and fuel, a nose compartment with a dome, a between-tank section and an afterbody, a rocket engine installation, an all-moving wing with a unit for turning it and fixing in a position along the axis of the booster during the ascension step and in a position turned by 90 DEG during the return flight, horizontal and vertical fin assemblies, a triple-point support landing gear, aerodynamic control organs and units for jointing to the second stage of the launch vehicle. The booster is provided with an air-feed jet engine installation, comprising two engines with air intakes mounted in the nose compartment, and with gas-line extensions with exhaust nozzles extending beyond the bypasses of the external contours of the nose compartment, and a propellant system with propellant tanks in the wing, working and balancing tanks in the nose compartment. A wing is mounted on the upper surface of the booster body in the area of the between-tank section. Horizontal and vertical fins are mounted on the afterbody and are made respectively in the form of a stabilizer consisting of two all-moving consoles with a small negative V-shaped angle, and a fin with a yaw rudder. The dome of the nose compartment is made in the form of a portion of a sphere and has two inlet apertures for the aforesaid air intakes, closed by one turning plug. 6 dependent claims, 11 drawings. ","Kiselev, Anatoly Ivanovich; Medwedev, Alexander Aleksevic; Trufanov, Yuri Nikolaevich; Razoogin, Igor Sergevich; Kuznetsov, Yury Leonidovich; Pankevic, Alexandre Alexandrovich; Navoschikov, Gennadi Fedorovich; Ushakov, Vladimir Mikhailovich","Federal Noe Gosdarst Benoe Unita Noe Predpryaty ""Gosdarst Benny Kosmicjesky Naukno-Proise Bodst Bennie Zentle im M Buoy Krunicheva""",2000-10-13
JP6830322B2,JP,2021-02-17,発火クエンチシステム、装置および方法,"Ignition-quenching systems (100) include an ignition-risk structure (140) that extends from a support structure (150) into a combustible environment (160) and include a porous ignition-quenching cover (110) that substantially covers the ignition-risk structure. The ignition-quenching cover is configured to quench an ignition event triggered by an ignition source associated with the ignition-risk structure. Ignition-quenching covers generally include a porous body (120). The porous body may include one or more porous elements (130). Methods (400) according to the present disclosure include installing (410) a porous ignition-quenching cover over an ignition-risk structure to prevent bulk combustion, e.g., of a fuel vapor in a fuel tank, due to an ignition event associated with the ignition-risk structure.",Jason Scott Damazo; Eddie Kwon; Arthur sea day; John Lebrett Lowell,The Boeing Company,2016-04-19
JPH05502080A,JP,1993-04-15,【発明の名称】一体パワーユニツト,"The invention relates to secondary power system apparatus and method for use aboard aircraft in place of conventional auxiliary power units (APU's) and emergency power units (EPU's). The invention integrated power unit (IPU) performs the function of both an APU and an EPU, while avoiding the use of hazardous monofuels. The IPU includes a turbine engine operable on pressurized ambient air, or on pressurized stored air, along with jet engine fuel. The structure of a combustion chamber for the engine which is able to use pressurized air from two separate sources; of a control able to selectively operate the engine as an EPU, as and APU, and to effect operating transition from EPU to APU; and of a complete secondary power system with the IPU are all disclosed.","Klaas, Rainhard M.; Minshiyaru, Bad Jei.; Suriano, Francis Jei.; William, William",Allied Signal Incorporated,1990-09-20
JP2011518280A,JP,2011-06-23,新規な往復動機械およびその他の装置,"The disclosure relates to reciprocating fluid working devices including internal combustion engines, compressors and pumps. A number of arrangements for pistons and cylinders of unconventional configuration are described, mostly intended for use in IC engines operating without cooling. Included are toroidal combustion or working chambers, some with fluid flow through the core of the toroid, a single piston reciprocating between a pair of working chambers, tensile valve actuation, tensile links between piston and crankshaft, energy absorbing piston-crank links, crankshafts supported on gas bearings, cylinders rotating in housings, injectors having components which reciprocate or rotate during fuel delivery. In some embodiments pistons mare rotate while reciprocating. High temperature exhaust emissions systems are described, including those containing filamentary material, as are procedures for reducing emissions during cold start by means of valves at reaction volume exit. Also disclosed are improved vehicles, aircraft, marine craft, transmissions and exhaust emission systems suited to the engines of the invention.","Hindarks, Mitoja, Victor","Hindarks, Mitoja, Victor",2008-04-16
JP7064055B2,JP,2022-05-09,再生可能な生成物を製造するためのプロセス,"The present disclosure relates to methods for producing renewable base oil and other valuable renewable fuel components from a feedstock of biological origin comprising free fatty acids and glycerides. The feedstock is first separated to two or more effluent streams containing a fatty acid fraction and glyceride fraction. The glycerides are hydrolyzed to free fatty acids and glycerol, and the fatty acids thus obtained are recycled to the separating. The fatty acids are then converted to the base oil by ketonisation, hydrodeoxygenation and hydroisomerisation. The glycerol is converted to propanols by selective hydrogenolysis.","Mulloya, Yucca; Kanervo, Yana; McConnen, Jana; Titta, Maruya",Neste Osake Yukitua Yurukinen,2019-12-20
JP2008532570A,JP,2008-08-21,火災抑制システム,"Reactive fire suppression transport agents may be used to release catalytic fire suppression agents, in reaction zones, which may then be transported by naturally occurring flows paths downstream to the vicinity of flame holding regions for fire suppression for example, in aircraft. The reactive fire suppression agents may also be delivered in projectiles and/or by propulsion of the fire suppression agents, for example, by pressurization.","Harland, Peter; Harness for ken",Eclipse Aviation Corporation,2006-01-12
JP5389359B2,JP,2014-01-15,火災抑制システム,"Reactive fire suppression transport agents may be used to release catalytic fire suppression agents, in reaction zones, which may then be transported by naturally occurring flows paths downstream to the vicinity of flame holding regions for fire suppression for example, in aircraft. The reactive fire suppression agents may also be delivered in projectiles and/or by propulsion of the fire suppression agents, for example, by pressurization.","Harland, Peter; Harness for ken","Eclipse Aerospace, Inc.",2006-01-12
JP2020533461A,JP,2020-11-19,オキシメチレンエーテル含有媒体と接触して使用するためのコポリマー加硫物,本発明は、（ハロゲン化）コポリマー加硫物、及びオキシメチレンエーテルを含有する液体媒体と接触しているデバイス、例えば、シール、タンクライニング、Ｏ−リング、又はホースにおけるその使用に関する。,Susanna Lieber; Kevin Kurbaba,Alan Seo Deutschland Gaembehr; Alan Theo Canada Inc.,2018-09-10
JP2023554048A,JP,2023-12-26,モノテルペンエステルの発酵生産のための酵素及び方法,本発明は、好ましくは３６時間、２４時間、１８時間、１２時間、６時間、３時間、２時間、１時間、４５分又は３０分以内に、より好ましくは微生物細胞において、三級モノテルペンアルコールをエステル化して、少なくとも３０質量％の前記三級モノテルペンアルコールがエステル化されるようにすることが可能なアルコールアシルトランスフェラーゼに関する。本発明はさらに、本発明のアルコールアシルトランスフェラーゼをコードする核酸配列又はその相補的配列を含む核酸及び本発明の核酸を含むベクター又は遺伝子コンストラクトに関する。本発明により、本発明のベクター又は遺伝子コンストラクトを含む宿主細胞及び本発明の核酸を含むトランスジェニック非ヒト生物、本発明のベクター若しくは遺伝子コンストラクト又は本発明の宿主細胞がさらに提供される。本発明は、モノテルペンエステルを調製するための方法にも関し、この方法は、本発明のアルコールアシルトランスフェラーゼの存在下でモノテルペンアルコールをモノテルペンエステルへとエステル化することを含む。具体的には、これは、本発明のアルコールアシルトランスフェラーゼの存在下でリナロールを酢酸リナリルへとエステル化することを含む、酢酸リナリルを調製するための方法を提供する。本発明はさらに、（ｉ）テルペン生合成経路の異種再構成のための；（ｉｉ）工業製品、好ましくは香味料又は香料、バイオ燃料、燃料組成物、燃料化合物、例えばディーゼル燃料組成物のための発泡剤、駆除剤、昆虫忌避剤又は抗菌剤を生産するための；（ｉＩＩ）モノテルペンアルコールから、好ましくは三級モノテルペンアルコールから脂肪族及び／又は芳香族モノテルペンエステルを生成させるための；（ｉｖ）微生物においてモノテルペンアルコールを解毒し、それにより前記微生物でのモノテルペン産生を増加させるための；（ｖ）ＧＰＰシンターゼ及び／又はＳ－又はＲ－リナロールシンターゼと組み合わせた；（ｖｉ）モノテルペンアルコールと比較した場合、疎水性酢酸分配が有機相により容易に行くことにおいてアセチル化の有益な効果を向上させるための；（ｖｉｉ）酢酸モノテルペンとモノテルペンアルコールとの比が５：１若しくは１０：１より大きくなるように本発明のアルコールアシルトランスフェラーゼを発現させるための又は（ｖｉｉｉ）モノテルペンエステルのための微生物産生系における、本発明のアルコールアシルトランスフェラーゼ、本発明の核酸、本発明のベクター若しくは遺伝子コンストラクト、本発明の宿主細胞又は本発明のトランスジェニック非ヒト生物の使用に関する。本発明はまた、本発明のアルコールアシルトランスフェラーゼ、本発明の核酸、本発明のベクター若しくは遺伝子コンストラクト、本発明の宿主細胞又は本発明のトランスジェニック非ヒト生物及び任意選択的に少なくとも１つのモノテルペンアルコール、好ましくは三級モノテルペンアルコールを含むキットも提供する。最終的に、本発明は、燃料及び／又はバイオ潤滑剤化合物の作製のための方法に関し、この方法は、ａ）本発明の方法の何れか１つにより１つ以上のモノテルペンエステルを作製し；ｂ）任意選択的に、段階ａ）で作製される１つ以上のモノテルペンエステルを精製し；及びｃ）段階ａ）の１つ以上のモノテルペンエステル又は段階ｂ）の精製された１つ以上のモノテルペンエステルの一部又は全てを、好ましくは：テトラヒドロリナロール；２，６－ジメチルオクタン（ＤＭＯ）；飽和Ｃ２０炭化水素二量体；飽和Ｃ３０炭化水素三量体；水素付加メチルシクロペンタジエン二量体；発射体推進に適切な飽和高密度多環式炭化水素化合物；及びバイオ潤滑剤添加物を生産するのに適切な水素付加Ｃ４０＋オリゴマーからなる群から選択される１つ以上の燃料及び／又はバイオ潤滑剤化合物に変換し；ｄ）任意選択的に１つ以上の燃料又はバイオ潤滑剤化合物を燃料及び／又はバイオ潤滑剤に適切なさらなる化合物と組み合わせる段階を含み；この燃料及び／又はバイオ潤滑剤組成物は、合計で、０．０１％（ｗ／ｗ）～９９．９９％（ｗ／ｗ）の燃料又はバイオ潤滑剤化合物が本発明の方法の１つにより得ることが可能な１つ以上のモノテルペンエステルから生産される。【選択図】なし,"Beek Wilder, Martinus Julius; Stiles, Matthew Quinn; Foss, Aurin, Minnelt; hesselinck, samara; Bosch, Hendrik Yang",Isobionics B.F.,2021-12-17
JP5628980B2,JP,2014-11-19,火災抑制システム,"Reactive fire suppression transport agents may be used to release catalytic fire suppression agents, in reaction zones, which may then be transported by naturally occurring flows paths downstream to the vicinity of flame holding regions for fire suppression for example, in aircraft. The reactive fire suppression agents may also be delivered in projectiles and/or by propulsion of the fire suppression agents, for example, by pressurization.",ハーランド，ピーター; ハーネス，ケン,エクリプス  エアロスペース，インコーポレイテッド,2013-08-07
JP4670035B2,JP,2011-04-13,ガスタービン燃焼器,,Shigeru Hayashi,Japan Aerospace Exploration Agency,2004-06-25
JP2023532017A,JP,2023-07-26,監視システム,例えば民間航空または軍用航空の飛行機またはヘリコプター、定期便またはチャーター便の旅客機、特に超高速機も含めた航空機または飛行装置の飛行員（９９）、例えば飛行機操縦士、航空機操縦士、パイロット、副パイロットまたは乗客などのための監視システム（１００）が記載される。センサ系（６０）を用いて、ガス濃度の計測学的検出が行われる。,Henning Geder; Christoph Oosterloh,Drager Safety Aktien Gesellschaft und Kompanie Command Gesellschaft Auf Aktien,2021-06-10
JP6779888B2,JP,2020-11-04,徐放性マイクロカプセル,"A method of forming microcapsules having improved physical properties and release control as well as the microcapsules formed by the process wherein the capsule wall is formed by the concurrent polymerization of monomers, oligomer and/or prepolymers on the inside of the capsule wall and different monomers, oligomers and/or prepolymers on the exterior of the capsule wall as it forms.","Fen, Lin Shen; Todd, Erlin, Schwantes; Robert, Stanley, Bobnock; Yang, Nianshi",THE PROCTER & GAMBLE COMPANY,2015-10-16
JP2017537787A,JP,2017-12-21,徐放性マイクロカプセル,改良された物理特性および放出制御ならびに、カプセル壁が形成するとき、該カプセル壁内側上のモノマー、オリゴマーおよび／またはプレポリマーと、該カプセル外側上のモノマー、オリゴマーおよび／またはプレポリマーとを同時重合によりカプセル壁を形成する方法により製造したマイクロカプセルを有するマイクロカプセルの製造方法。,"Fen, Lin Shen; Todd, Erlin, Schwantes; Robert, Stanley, Bobnock; Yang, Nianshi","ENCAPSYS, LLC",2015-10-16
JPH05502081A,JP,1993-04-15,【発明の名称】一体パワーユニツト燃焼装置及び方法,"The invention relates to secondary power system apparatus and method for use aboard aircraft in place of conventional auxiliary power units (APU's) and emergency power units (EPU's). The invention integrated power unit (IPU) performs the function of both an APU and an EPU, while avoiding the use of hazardous monofuels. The IPU includes a turbine engine operable on pressurized ambient air, or on pressurized stored air, along with jet engine fuel. The structure of a combustion chamber for the engine which is able to use pressurized air from two separate sources; of a control able to selectively operate the engine as an EPU, as an APU, and to effect operating transition from EPU to APU; and of a complete secondary power system with the IPU are all disclosed.","Klaas, Rainhard M.; Minshiyaru, Bad Jei.; Suriano, Francis Jei.; William, William",Allied Signal Incorporated,1990-09-20
JP6526817B2,JP,2019-06-05,徐放性二重壁マイクロカプセル,A method of forming dual melamine/acrylic walled microcapsules having improved physical properties and release control as well as the microcapsules formed by the process wherein the capsule wall is formed by the use of select (meth)acrylate monomers and/or oligomers and/or select self-condensing melamine resins.,"Fen, Lin Shen; Robert, Stanley, Bobnock","ENCAPSYS, LLC",2015-10-16
JP2018501102A,JP,2018-01-18,徐放性二重壁マイクロカプセル,改良された物理特性および放出制御を有する二重メラミン／アクリル壁マイクロカプセルの製造方法ならびに選択された（メタ）アクリレートモノマーおよび／またはオリゴマーおよび／または選択された自己縮合メラミン樹脂の使用によりカプセル壁を形成する方法により製造されたマイクロカプセル。,"Fen, Lin Shen; Robert, Stanley, Bobnock","ENCAPSYS, LLC",2015-10-16
JP4657800B2,JP,2011-03-23,航空機用ガスタービン・エンジンの制御装置,"In a gas turbine aeroengine control system, in Ch-A (first control channel), a first CPU monitors the operation of a second CPU and the second CPU monitors the operation of the first CPU; in Ch-B (second control channel), third and fourth CPUs similarly monitor each other, and when the operation of at least one of the first and second CPUs in Ch-A is found not to be normal, the output sent to an FCU (fuel control unit) is switched from the output of one or the other of the first and second CPUs of Ch-A to the output of one or the other of the third and fourth CPUs of Ch-B, thereby achieving improved CPU failure detection and realizing high redundancy and high reliability.",Muramatsu Hironori; Yuichi Hattori; Makoto Tezuka,Honda motor industry stock company,2005-05-16
JP2023544084A,JP,2023-10-20,イオン性単元推進剤を用いて低圧で点火する高温ガス発生装置,推進剤を反応させる高温ガス発生装置が、燃焼室と、燃焼室の上流に構成され燃焼室側で推進剤に対して閉鎖できる少なくとも１つのインジェクタと、上記インジェクタに組み込まれた電極（５、６）と、推進剤の少なくとも１つの供給ラインとを含む。この背景で、推進剤は、単元推進剤であり、かつ蒸気圧が低い実質的に無水のイオン性製溶液であり、好ましくは残留含水量が５質量％未満で、所与の燃焼室圧力での自立燃焼が可能であり、電極（５、６）は、少なくとも２つの反対極性の電極を有し、電極は、この推進剤が反対極性の電極間を通過するときに、推進剤を通る電流によって推進剤を電気で点火するのに適している。【選択図】図５,Nobbe Saverio,Laborvital GmbH; Nobbe Saverio,2021-08-24
JP7259055B2,JP,2023-04-17,航空機の飛行中燃料補給のための方法およびステム,"A method of operating a supply aircraft for in-flight recharging comprises: transmitting a deploy command signal from a communication unit of the supply aircraft to a communication unit of a receiver aircraft, to cause a line and drogue to deploy from the receiver aircraft; controlling at least one of the supply aircraft and the drogue to engage the drogue with a first end of an electrical cable of the supply aircraft, a second end of the electrical cable being connected to the supply aircraft; and transmitting a return command signal from the communication unit of the supply aircraft to the communication unit of the receiver aircraft, to cause the line and drogue to return to the receiver aircraft with the first end of the electrical cable. The supply aircraft is located behind the receiver aircraft and the deploy command signal is for causing the line and drogue to deploy rearwardly of the receiver aircraft.",James Pitman,Brulic Limited,2019-06-06
JP2008538588A,JP,2008-10-30,機能的流体のための添加物ゲルの制御放出,"In accordance with the present invention, it has been discovered that additive gels can provide additives to a functional fluid over time. In accordance with the present invention it has been discovered that an additive gel comprising i.) at least two additives selected from the group comprising detergents, dispersants, acids, bases, over based detergent, succinated polyolefins or mixtures thereof wherein the selected additives when combined form a gel; ii.) optionally at least one additive comprising viscosity modifier(s), friction modifier(s), detergent(s), cloud point depressant(s), pour point depressant(s), demulsifier(s), flow improver(s), anti static agent(s), dispersant(s), antioxidant(s), antifoam(s), corrosion/rust inhibitor(s), extreme pressure/antiwear agent(s), seal swell agent(s), lubricity aid(s), antimisting agent(s), and mixtures thereof; resulting in a controlled release gel that over time releases at least one desired additive into a functional fluid when the gel is contacted with the functional fluid.","George, Herman F.; Burlington, James Dee.; Pudderski, John Kay.; Roski, James P.; Martin, John Earl.; Ineman, Jennifer M.; Garvin, Gary A.; Van Riel, Frank M.; McKay, David A.",THE LUBRIZOL CORPORATION,2006-01-27
JP2017527091A,JP,2017-09-14,電気出力発生システム及び同方法,（ｉ）ハイドリノを形成するため原子水素の触媒作用のための少なくとも１つの反応セル、（ｉｉ）Ｈ２Ｏ触媒又はＨ２Ｏ触媒の源；原子水素又は原子水素の源；Ｈ２Ｏ触媒又はＨ２Ｏ触媒の源及び原子水素又は原子水素の源を形成する反応物；原子水素の触媒作用を開始させる１以上の反応物；及び、燃料が高く導電性となるようにする材料；から選択される少なくとも２つの成分を含む化学感触混合物、（ｉｉｉ）レールガン・ショット噴射装置のような燃料噴射システム、（ｉｖ）明るい光を発するプラズマからハイドリノを形成することによるエネルギーゲイン及びハイドリノ反応の高反応速度を開始させる低電圧、高電流電気エネルギーの反復のショートバーストを提供する電気的パワー源及び燃料を閉じ込める少なくとも１セットの電極、（ｖ）重力回収システム及び拡張プラズマレールガン回収システムの少なくとも１つのような生成物回収システム、（ｖｉ）溶鉱炉、水素の源及びＨ２Ｏの源、燃料ペレット又はショットを形成するドリッパー及びウォーターバス、及び噴射装置内にショットを供給する攪拌機を含む燃料ペレタイザー又はショットメーカー、（ｖｉｉ）複数の紫外線（ＵＶ）フォトエレクトリックセル及び複数の光起電力セル及びＵＶウィンドウを含む集光型太陽熱発電装置のようなセルの高いパワー光出力を電気に変えることのできるパワーコンバーター、 を含む電気及び熱パワーの少なくとも１つを供給する固体又は液体燃料−プラズマ—電気パワー源。,"Mills, Randell El.",Brilliant Light Power Incorporated,2015-05-29
JP2009536730A,JP,2009-10-15,制御された核融合のプロセス,"The invention comprises a process of controlled nuclear fusion of deuterium atoms carried out in a combustion chamber, after the combustion of a gaseous fuel which comprises deuterium atoms in the presence of an oxidation gas and a gaseous catalyst, under a positive pressure. The invention also comprises a reactor for controlled nuclear fusion to carry out the disclosed process, thus as the internal-combustion engine which comprises the reactor for controlled nuclear fusion and a vehicle which comprises said internal-combustion engine.",Jose Ignacio Garind Cavello; Jose Alvarez Lopez,ALSET TECHNOLOGY LLC,2007-05-11
JP2014507511A,JP,2014-03-27,ハイドロプロセシングのための化学組成を有する天然油の輸送燃料への誘導および変換,"Methods, apparatus, and/or feedstock suitable for use in biofuels production, as well as biofuel compositions. A method of producing a biofuel includes hydroprocessing glycerides derived from an oleaginous microorganism and composed of at least 10% by weight of fatty acid chains of length C16 or lower, and producing a biofuel having a cold-flow pour point of about 20° Celsius or lower.","Borden, Jacob; Shabaker, john w","BP Corporation North America, Inc.",2011-12-12
JPH05501095A,JP,1993-03-04,【発明の名称】ターボクラフト,"An aircraft having a substantially circular body having a profile in the direction of flight as a profile of an airplane wing, at least two concentric counter-rotating turbo-blade assemblies within said body for effecting a vertical lifting air stream through said assemblies. Power generating devices and devices for coupling the power generating devices to the turbo-blade assemblies for maintaining them in rotary motion. It also includes thrusting devices coupled to the power generating devices for applying horizontal thrust to the aircraft, retro-boosting devices including a plurality of combustion chambers located below the turbo-blade assemblies for boosting said vertical lifting airstream. Also included is a compressed air plenum disposed below said turbo-blade assemblies in fluid communication with the combustion chambers and to the intake portion of the power generating means for supplying oxygen for sustaining combustion in said combustion chambers and for sustaining power in said power generating means, including upper vanes disposed above said turbo-blade assemblies for ingesting air, and lower vanes disposed below said compressed air plenum for exhausting air, and respective upper and lower vane control means.","Valvard, Rene El.","Valvard, Rene El.",1991-04-03
JP2021518468A,JP,2021-08-02,シリコーンポリマー,シロキサンポリマー主鎖を有するポリマーおよびそれを含む組成物が提供される。ポリマーは、シロキサンポリマー主鎖内に環状不飽和基（Ｚ３）を含む。ポリマーは良好な熱伝導率を示すことが見出されており、さまざまな用途での有用性が見出され得る。【選択図】なし,"Datta, Pranabesh; Upkuttan, Vine Krishnan; Nike, sandeep; Sachsena, Anouve Have",Momentive Performance Materials Inc.,2019-03-14
JP2017500293A,JP,2017-01-05,オレフィンの二量化および／またはオリゴマー化のための非担持ヘテロポリ酸金属塩触媒,本発明は、混合ブテン原料からブテン二量体および／またはオリゴマーを生成するのに有用な非担持金属（例えばセシウム）置換ヘテロポリ酸触媒組成物に関し、該生成では、温和な条件下で、すべての混合ブテンの異性体が、オクタン価向上剤として有用な高度に分岐したC8およびC8+オレフィンを生成する。,"Sun; Shu, Way",Saudi Arabian Oil Company,2014-11-18
JP2024007302A,JP,2024-01-18,環境保全と経済性を両立させる低エントロピー・エンジン,【課題】コアの排気ノズルを可変機構とし、離陸定格で可変コアノズル（ＶＣＮ）を広げて、推力を落さずタービン入口温度（ＴＩＴ）を下げる。巡航時にファン回転数を下げずに燃料流量を減らして推力を制御し、燃料消費率（ＳＦＣ）を低減する。【解決手段】ファン回転数が最大の離陸定格を空力設計点（ＡＤＰ）とし、高圧タービン（ＨＰＴ）、低圧タービン（ＬＰＴ）、ＶＣＮのノズルをＡＤＰでチョークさせ、ＶＣＮを開いたとき高圧軸回転数を高めずに低圧軸回転数を高めることを可能とし、亜音速機用ターボファン・エンジンのための新たな「ＴＩＴと流量と推力」の関係を生み出して、上記課題を解決する。【効果】低エントロピー・サイクルによって熱効率を高め、ＳＦＣを低減してＣＯ２排出量を削減、低いＴＩＴによってＮＯＸの排出量を低減し、タービン寿命を伸ばして、経済性と環境適合性の両立を果たす。【選択図】図１,Isamu Nemoto,Isamu Nemoto,2022-07-05
JP2022508447A,JP,2022-01-19,再生可能な生成物を製造するためのプロセス,本発明は、遊離脂肪酸およびグリセリドを含む生物学的起源のフィードストックから再生可能なベースオイルおよび他の価値の高い再生可能な燃料成分を製造するための方法に関する。フィードストックは、最初に脂肪酸留分およびグリセリド留分を含む２つまたはそれ以上の流出流に分離される。グリセリドは、遊離脂肪酸およびグリセロールに加水分解され、そして、得られた脂肪酸は、分離工程へとリサイクルされる、脂肪酸はその後、ケトン化、水素化脱酸素化、および水素異性化によってベースオイルに変換される。グリセロールは、選択的な水素化分解によってプロパノールに変換される。,"Mulloya, Yucca; Kanervo, Yana; McConnen, Jana; Titta, Maruya",Neste Osake Yukitua Yurukinen,2019-12-20
JP7304350B2,JP,2023-07-06,共通入口プレナム及び共通出口プレナムを有する積重ね可能な燃料電池発電機構成,A power module system includes a plurality of vertically stacked power modules. The plurality of vertically stacked power modules include at least two vertical stacks. A shared exhaust plenum is located between the at least two vertical stacks of power modules.,"Ballantyne, Earn; Mahler, Jessica; Parker, Ross; Richards, Gilbert; Sharp, Barry; Dan, scene; Lara, Santi; Otool, John; Trevisan, David; Kotturi, Karl; Weingertner, David; Vines, Daniel",Bloom Energy Corporation,2018-12-14
JP2019507270A,JP,2019-03-14,エアタービンスタータ、およびその始動方法,エアタービンスタータ（ＡＴＳ）組立体は、燃焼エンジン（１０）に結合された回転式ピニオンギア（７２）と、回転式ピニオンギア（７２）の回転速度（３０２）を測定する速度センサ（７８）と、ピニオンギア（７２）が受けるトルクを示すトルク出力（３０４）を供給するトルクセンサ（７９）と、ＡＴＳアセンブリに対する始動シーケンスを動作させるように構成され、それによってトルク出力（３０４）を始動シーケンス閾値（３１０）未満に維持しつつ、回転速度（３０２）を制御可能に上昇させるように構成されたコントローラモジュールを備える。【選択図】図５,"Redesma redesma, sole; Blanco Avils, Reuben",GE Aviation Systems LLC,2016-01-20
JPH05500548A,JP,1993-02-04,【発明の名称】一体パワーユニツト制御装置及び方法,"The invention relates to secondary power system apparatus and method for use aboard aircraft in place of conventional auxiliary power units (APU's) and emergency power units (EPU's). The invention integrated power unit (IPU) performs the function of both on APU and an EPU, while avoiding the use of hazardous monofuels. The IPU includes a turbine engine operable on pressurized ambient air, or on pressurized stored air, along with jet engine fuel. The structure of a combustion chamber for the engine which is able to use pressurized air from two separate sources; of a control able to selectively operate the engine as an EPU, as an APU, and to effect operating transition from EPU to APU; and of a complete secondary power system with the IPU are all disclosed.","Klaas, Rainhard M.; Minshiyaru, Bad Jei.; Suriano, Francis Jei.; William, William",Allied Signal Incorporated,1990-09-20
JP2021501231A,JP,2021-01-14,バイオマスの加工方法,バイオマスを加工するための技術が本明細書において開示される。ASTM 6866-18によって決定される場合、100%の生物起源炭素含有量を有するセルロース系エタノールを調製する方法は、粉砕トウモロコシ穂軸を電子ビーム照射で処理する工程、および照射を受けた粉砕トウモロコシ穂軸を糖化して糖を生産する工程を包含する。該方法は、微生物を用いて糖を発酵させる工程も包含する。加えて、約25%の芳香族炭化水素、約2.5%のアルケン、約41%のアルカン、および約8.5%の酸素化化合物（wt./wt.）を含む、セルロース系バイオマス由来のジェット燃料が開示される。,Medoff marshall,Xyreco Incorporated,2018-10-26
JP3007873B2,JP,2000-02-07,【発明の名称】吸気バルブ堆積物を極小化するための添加物、及びそれらの使用,"New, highly effective detergent/dispersants for use in spark ignition fuels are described. They are Mannich condensation products formed from (i) one mole part of at least one substituted hydroxyaromatic compound having on the ring both (a) an aliphatic hydrocarbyl substituent derived from a polyolefin having a number average molecular weight in the range of about 500 to about 3000, and (b) a C1-4 alkyl; (ii) from 0.8 to 1.5 mole part(s) of aliphatic polyamine having one and only one primary or secondary amino group in the molecule capable of participating in the Mannich condensation reaction; and (iii) from 0.8 to 1.3 mole part(s) of aldehyde, provided that the mole ratio of aldehyde to amine is 1.2:1 or less. Carrier fluids such as poly(oxyalkylene) compounds further enhance the effectiveness of these Mannich condensation products in minimizing or reducing intake valve deposits and/or intake valve sticking.",Dennis Jay Malfuar; William Jay Corsi; Randall M Franklin,ETHYL CORPORATION,1998-04-09
JP2008520877A,JP,2008-06-19,風エアエンジン、即ち燃料エネルギーの代わりに風力気圧が利用されるエンジン,"A wind-air engine namely an engine using wind and air pressure as energy to replace fuel is provided; The wind-air engine relates to an engine installed in large, medium or small size cargo or passenger vehicles having steering wheels, railway trains, subway trains moving on land, marine travel vehicle, aero space travel vehicle and all other motor vehicles that move at a speed; The wind-air engine includes a main body of the wind-air engine, a controller for HPCA automatic intermittent burst jet acceleration of the wind-air engine, and a deceleration and brake pressurizing device of a motor vehicle equipped with the wind-air engine; The wind-air engine is not restricted by natural weather, ambient or wind conditions, and uses HPCA stored therein to be started and accelerated to generate power output, the power drives the motor vehicle equipped with the wind-air engine moves at a speed and the wind force and wind resistance airflow encountered are transformed into mechanical kinetic energy; Then the mechanical kinetic energy and inertia when the motor vehicle equipped with the wind-air engine moves at a speed are output, so as to regenerate HPCA and convert it into mechanical power; The advantage lies in the feature of recycling the wind force and wind resistance kinetic power encountered when the engine runs at a speed and the regeneration HPCA, and converting them into mechanical kinetic power;","CONG,Yang","CONG,Yang",2005-11-14
JP5154568B2,JP,2013-02-27,フラッシュバックバリアを備えた火花一体型推進薬噴射器ヘッド,"High performance propellants flow through specialized mechanical hardware that allows for effective and safe thermal decomposition and/or combustion of the propellants. By integrating a sintered metal component between a propellant feed source and the combustion chamber, an effective and reliable fuel injector head may be implemented. Additionally the fuel injector head design integrates a spark ignition mechanism that withstands extremely hot running conditions without noticeable spark mechanism degradation.","Mangus, Gregory S.; Fisher, David Jay.; Mangus, Christopher","Fire Star Engineering, LLC",2007-12-04
JP2010511830A,JP,2010-04-15,フラッシュバックバリアを備えた火花一体型推進薬噴射器ヘッド,"High performance propellants flow through specialized mechanical hardware that allows for effective and safe thermal decomposition and/or combustion of the propellants. By integrating a sintered metal component between a propellant feed source and the combustion chamber, an effective and reliable fuel injector head may be implemented. Additionally the fuel injector head design integrates a spark ignition mechanism that withstands extremely hot running conditions without noticeable spark mechanism degradation.","Mangus, Gregory S.; Fisher, David Jay.; Mangus, Christopher","Fire Star Engineering, LLC",2007-12-04
